Number of Records,Year_Hydro,Value_Hydro,Countries
1,01/01/1972,,Slovenia
1,01/01/1972,7.872213966,Spain
1,01/01/1972,12.168,Sweden
1,01/01/1972,5.483557406,Switzerland
1,01/01/1972,0.725030547,Turkey
1,01/01/1972,0,Ukraine
1,01/01/1972,0.763225777,United Kingdom
1,01/01/1972,,Azerbaijan
1,01/01/1972,,Belarus
1,01/01/1972,,Kazakhstan
1,01/01/1972,,Russian Federation
1,01/01/1972,,Turkmenistan
1,01/01/1972,28.63,USSR
1,01/01/1972,,Uzbekistan
1,01/01/1972,0.792,Iran
1,01/01/1972,0.045,Iraq
1,01/01/1972,0,Israel
1,01/01/1972,0,Kuwait
1,01/01/1972,0,Oman
1,01/01/1972,0,Qatar
1,01/01/1972,0,Saudi Arabia
1,01/01/1972,0,United Arab Emirates
1,01/01/1972,0.113,Algeria
1,01/01/1972,1.168,Egypt
1,01/01/1972,0.361134996,Morocco
1,01/01/1972,0.187,South Africa
1,01/01/1972,2.56810577,Eastern Africa
1,01/01/1972,2.614226909,Australia
1,01/01/1972,0.039598135,Bangladesh
1,01/01/1972,7.456,China
1,01/01/1972,0,China Hong Kong SAR
1,01/01/1972,7.332,India
1,01/01/1972,0.279,Indonesia
1,01/01/1972,18.995429832,Japan
1,01/01/1972,0.281,Malaysia
1,01/01/1972,3.454,New Zealand
1,01/01/1972,0.908,Pakistan
1,01/01/1972,0.324,Philippines
1,01/01/1972,0,Singapore
1,01/01/1972,0.309561479,South Korea
1,01/01/1972,0.191677603,Sri Lanka
1,01/01/1972,0.824,Taiwan
1,01/01/1972,0.486,Thailand
1,01/01/1972,0.095488075,Vietnam
1,01/01/1974,44.788,Canada
1,01/01/1974,3.797,Mexico
1,01/01/1974,69.530852947,US
1,01/01/1974,1.125,Argentina
1,01/01/1974,14.861519663,Brazil
1,01/01/1974,1.368,Chile
1,01/01/1974,1.989425829,Colombia
1,01/01/1974,0.131,Ecuador
1,01/01/1974,1.182,Peru
1,01/01/1974,0,Trinidad & Tobago
1,01/01/1974,1.745,Venezuela
1,01/01/1974,5.139204417,Austria
1,01/01/1974,0.054306014,Belgium
1,01/01/1974,0.471,Bulgaria
1,01/01/1974,,Croatia
1,01/01/1974,0,Cyprus
1,01/01/1974,0.392,Czech Republic
1,01/01/1974,0.005,Denmark
1,01/01/1974,,Estonia
1,01/01/1974,2.874378944,Finland
1,01/01/1974,12.723510974,France
1,01/01/1974,3.991069331,Germany
1,01/01/1974,0.505,Greece
1,01/01/1974,0.018,Hungary
1,01/01/1974,0.51097434,Iceland
1,01/01/1974,0.178947368,Ireland
1,01/01/1974,8.552065891,Italy
1,01/01/1974,,Latvia
1,01/01/1974,,Lithuania
1,01/01/1974,0.016956827,Luxembourg
1,01/01/1974,0,Netherlands
1,01/01/1974,,North Macedonia
1,01/01/1974,17.345,Norway
1,01/01/1974,0.479913563,Poland
1,01/01/1974,1.771281169,Portugal
1,01/01/1974,1.918,Romania
1,01/01/1974,0.503009458,Slovakia
1,01/01/1974,,Slovenia
1,01/01/1974,6.996731728,Spain
1,01/01/1974,12.966,Sweden
1,01/01/1974,6.30184921,Switzerland
1,01/01/1974,0.759333846,Turkey
1,01/01/1974,0,Ukraine
1,01/01/1974,0.921165769,United Kingdom
1,01/01/1974,,Azerbaijan
1,01/01/1974,,Belarus
1,01/01/1974,,Kazakhstan
1,01/01/1974,,Russian Federation
1,01/01/1974,,Turkmenistan
1,01/01/1974,30.798,USSR
1,01/01/1974,,Uzbekistan
1,01/01/1974,0.739,Iran
1,01/01/1974,0.092,Iraq
1,01/01/1974,0,Israel
1,01/01/1974,0,Kuwait
1,01/01/1974,0,Oman
1,01/01/1974,0,Qatar
1,01/01/1974,0,Saudi Arabia
1,01/01/1974,0,United Arab Emirates
1,01/01/1974,0.113,Algeria
1,01/01/1974,1.384,Egypt
1,01/01/1974,0.302529755,Morocco
1,01/01/1974,0.254,South Africa
1,01/01/1974,3.336000261,Eastern Africa
1,01/01/1974,3.139322125,Australia
1,01/01/1974,0.05498484,Bangladesh
1,01/01/1974,9.43,China
1,01/01/1974,0,China Hong Kong SAR
1,01/01/1974,7.513,India
1,01/01/1974,0.39,Indonesia
1,01/01/1974,17.877822374,Japan
1,01/01/1974,0.293,Malaysia
1,01/01/1974,3.436866744,New Zealand
1,01/01/1974,0.963,Pakistan
1,01/01/1974,0.503,Philippines
1,01/01/1974,0,Singapore
1,01/01/1974,0.431248133,South Korea
1,01/01/1974,0.225732,Sri Lanka
1,01/01/1974,1.066,Taiwan
1,01/01/1974,0.674,Thailand
1,01/01/1974,0.095035525,Vietnam
1,01/01/1975,44.132,Canada
1,01/01/1975,3.434,Mexico
1,01/01/1975,69.288777031,US
1,01/01/1975,1.162,Argentina
1,01/01/1975,16.35674526,Brazil
1,01/01/1975,1.389,Chile
1,01/01/1975,2.202176766,Colombia
1,01/01/1975,0.137,Ecuador
1,01/01/1975,1.237,Peru
1,01/01/1975,0,Trinidad & Tobago
1,01/01/1975,2.021,Venezuela
1,01/01/1975,5.384260307,Austria
1,01/01/1975,0.041408336,Belgium
1,01/01/1975,0.555,Bulgaria
1,01/01/1975,,Croatia
1,01/01/1975,0,Cyprus
1,01/01/1975,0.411,Czech Republic
1,01/01/1975,0.004751776,Denmark
1,01/01/1975,,Estonia
1,01/01/1975,2.762612778,Finland
1,01/01/1975,13.600927049,France
1,01/01/1975,3.86005417,Germany
1,01/01/1975,0.504,Greece
1,01/01/1975,0.037,Hungary
1,01/01/1975,0.499072272,Iceland
1,01/01/1975,0.118421053,Ireland
